metric_1,metric_2,correlation
synt_DEPREL_total_words,synt_UPOS_total_words,1.0
synt_DEPREL_punct_md,synt_UPOS_PUNCT_md,0.9988299929350711
synt_DEPREL_punct_prop,synt_UPOS_PUNCT_prop,0.997737534149895
synt_DEPREL_count_punct,synt_UPOS_count_PUNCT,0.9977004585178455
synt_DEPREL_count_det,synt_UPOS_count_DET,0.9955383089596449
synt_DEPREL_det_prop,synt_UPOS_DET_prop,0.9949674923393657
synt_DEPREL_cop_prop,synt_DEPREL_count_cop,0.9944263079929877
synt_UPOS_count_SCONJ,synt_UPOS_SCONJ_prop,0.9931787392382678
synt_DEPREL_count_amod,synt_DEPREL_amod_prop,0.9926138440559886
synt_UPOS_count_PRON,synt_UPOS_PRON_prop,0.9922064906966761
synt_DEPREL_count_acl:relcl,synt_DEPREL_acl:relcl_prop,0.991974659762954
synt_UPOS_count_ADV,synt_UPOS_ADV_prop,0.9916641101355362
synt_UPOS_PROPN_prop,synt_UPOS_count_PROPN,0.9915456990901207
synt_UPOS_AUX_prop,synt_UPOS_count_AUX,0.9913566016805182
synt_DEPREL_acl_prop,synt_DEPREL_count_acl,0.9909802377056391
synt_DEPREL_count_advmod,synt_DEPREL_advmod_prop,0.9894934173137635
synt_DEPREL_xcomp_prop,synt_DEPREL_count_xcomp,0.9894503531305857
synt_UPOS_count_CCONJ,synt_DEPREL_count_cc,0.9890341394899006
synt_DEPREL_count_mark,synt_DEPREL_mark_prop,0.9886877162604552
synt_UPOS_count_ADJ,synt_UPOS_ADJ_prop,0.988512703701312
synt_UPOS_CCONJ_prop,synt_DEPREL_cc_prop,0.988390242418682
synt_DEPREL_advcl_prop,synt_DEPREL_count_advcl,0.9874373686593152
synt_DEPREL_count_root,synt_DEPREL_root_prop,0.9869954075201396
synt_DEPREL_conj_prop,synt_DEPREL_count_conj,0.9855916809425315
synt_DEPREL_count_appos,synt_DEPREL_appos_prop,0.9834719516728504
synt_DEPREL_nmod_prop,synt_DEPREL_count_nmod,0.9825265808059284
synt_DEPREL_cc_prop,synt_DEPREL_count_cc,0.980605163194163
synt_DEPREL_nsubj_prop,synt_DEPREL_count_nsubj,0.9802644717107716
synt_UPOS_count_CCONJ,synt_UPOS_CCONJ_prop,0.9800652814707883
synt_UPOS_CCONJ_md,synt_DEPREL_cc_md,0.9762933328456882
synt_UPOS_ADP_prop,synt_UPOS_count_ADP,0.9732595904697869
synt_DEPREL_amod_prop,synt_UPOS_ADJ_prop,0.9719622640213813
synt_DEPREL_count_amod,synt_UPOS_count_ADJ,0.9700783117175926
synt_UPOS_count_CCONJ,synt_DEPREL_cc_prop,0.9700274128132355
synt_UPOS_CCONJ_prop,synt_DEPREL_count_cc,0.9681477100285826
synt_DEPREL_count_det,synt_DEPREL_det_prop,0.9676217106807239
synt_UPOS_DET_prop,synt_UPOS_count_DET,0.9674470285702587
synt_DEPREL_count_det,synt_UPOS_DET_prop,0.966377566135534
synt_UPOS_count_ADV,synt_DEPREL_count_advmod,0.9653067736726243
synt_DEPREL_case_prop,synt_DEPREL_count_case,0.9647569859505899
synt_DEPREL_obj_prop,synt_DEPREL_count_obj,0.9641654962396957
synt_DEPREL_obl_prop,synt_DEPREL_count_obl,0.9635351101256989
synt_DEPREL_count_amod,synt_UPOS_ADJ_prop,0.9632549658642467
synt_DEPREL_count_advmod,synt_UPOS_ADV_prop,0.9626991616679931
synt_DEPREL_advmod_prop,synt_UPOS_ADV_prop,0.9610554127752227
synt_DEPREL_amod_prop,synt_UPOS_count_ADJ,0.9605606550282313
synt_DEPREL_det_prop,synt_UPOS_count_DET,0.9592391576597589
synt_UPOS_VERB_prop,synt_UPOS_count_VERB,0.9579233372638123
