,PC1,PC2
basic_ttr,-0.11137979378111312,-0.042930864837599336
basic_tokens_per_sentence_mean,0.08851173145603208,-0.24074441833513927
basic_chars_per_token_mean,-0.09587143861152891,-0.2125743482726762
basic_n_unique_unigrams,0.012449633272779592,-0.025801929995002693
basic_n_unique_bigrams,-0.04092994833525705,0.06119415606976518
basic_n_repeated_bigrams,0.03783037456337183,-0.06426281756345803
basic_n_unique_trigrams,-0.01693768857256823,0.09411181277503908
basic_n_repeated_trigrams,0.022054269536312596,-0.088698829035712
synt_mean_dependency_distance,0.23691075224846808,-0.03950287428450819
synt_DEPREL_det_prop,-0.12305018330910546,-0.04531897338016013
synt_DEPREL_det_md,0.05447983710582581,-0.032095192275673236
synt_DEPREL_root_prop,-0.10443289207793922,0.15599931198438108
synt_DEPREL_root_md,0.004222302937908966,-0.11566523626993878
synt_DEPREL_cc_prop,0.08225544351532496,0.036240721234390344
synt_DEPREL_cc_md,0.06617793529016795,0.10902835434785588
synt_DEPREL_conj_prop,0.052624667965109215,-0.1119230158708215
synt_DEPREL_conj_md,0.1962308588932088,-0.09509382028396143
synt_DEPREL_case_prop,-0.08933030452296961,-0.2050764795341854
synt_DEPREL_case_md,0.20168478149077168,-0.04746358501087535
synt_DEPREL_nmod_prop,-0.09403959801053753,-0.2280747523494097
synt_DEPREL_nmod_md,0.22388482874615842,-0.0711084542671312
synt_DEPREL_punct_prop,0.007112162104212119,0.02258007693551006
synt_DEPREL_obj_prop,0.014599307469275869,0.1854327864722243
synt_DEPREL_obj_md,0.20259905196335184,-0.051185200647101144
synt_DEPREL_amod_prop,-0.011061415740865554,-0.1846455936463535
synt_DEPREL_amod_md,0.036720904058763555,0.019545028786421035
synt_DEPREL_appos_prop,-0.07747860446358344,-0.21488114773037567
synt_DEPREL_appos_md,0.17278767269421036,-0.023855426457782953
synt_DEPREL_nsubj_prop,0.12058752659472274,0.17586545593441769
synt_DEPREL_nsubj_md,-0.002173670036841854,-0.17662849828751617
synt_DEPREL_mark_prop,0.02901834475642172,0.13182267959330912
synt_DEPREL_mark_md,0.098390982130965,-0.06927512602076963
synt_DEPREL_acl_prop,-0.07073836548673584,-0.16184519653219429
synt_DEPREL_acl_md,0.19642492091959632,-0.04385665196604376
synt_DEPREL_advmod_prop,0.08554638797223152,0.22136280569667274
synt_DEPREL_advmod_md,0.1120157102157395,-0.08083567234378884
synt_DEPREL_obl_prop,-0.0021806854723477585,0.09522912277178094
synt_DEPREL_obl_md,0.18022393489488586,-0.08764751363148496
synt_DEPREL_advcl_prop,0.09985265093827712,0.14398875337788286
synt_DEPREL_advcl_md,0.19785213941766008,-0.10512673747560568
synt_DEPREL_cop_prop,0.040741175504873536,0.20343172387076414
synt_DEPREL_cop_md,0.040901775661739075,-0.06645828856738967
synt_DEPREL_xcomp_prop,0.02263761488620511,0.10693021187556814
synt_DEPREL_xcomp_md,0.19628651334046526,-0.0873115280681987
synt_DEPREL_acl:relcl_prop,0.057535775454970864,0.0490813457558486
synt_DEPREL_acl:relcl_md,0.18865197987413404,-0.05048891561166274
synt_UPOS_DET_md,0.08489801840534227,0.001967135368559563
synt_UPOS_NOUN_prop,-0.06196524903736222,-0.11263186351492603
synt_UPOS_NOUN_md,0.21976155143121792,-0.093389381862165
synt_UPOS_ADP_prop,-0.11046312427791499,-0.1813972979830346
synt_UPOS_ADP_md,0.19487781798736312,-0.05526002178002347
synt_UPOS_PUNCT_md,0.22811101455836197,0.02136732829399136
synt_UPOS_VERB_prop,0.028347600207984068,0.24536401813711015
synt_UPOS_VERB_md,0.23471096915387965,-0.04707226439046234
synt_UPOS_ADJ_md,0.20688052049741318,0.0053069343736583926
synt_UPOS_ADV_md,0.13791920958013063,-0.066772888285228
synt_UPOS_PROPN_prop,-0.04323808988235404,-0.16646385840787925
synt_UPOS_PROPN_md,0.16200304042778027,-0.10123818845528147
synt_UPOS_AUX_prop,0.07803253979200286,0.18967442553033062
synt_UPOS_AUX_md,0.056317363468467434,-0.005710525754205011
synt_UPOS_PRON_prop,0.14515584585655386,0.18526416902361514
synt_UPOS_PRON_md,0.14811435299684197,-0.06287805546095672
synt_UPOS_SCONJ_prop,0.07198226117786656,0.17414471674413526
synt_UPOS_SCONJ_md,0.08051128611187693,-0.11082193469705
synt_UPOS_total_words,-0.14133261467467273,-0.08128429816138338
