metric,author,original,prompt_steering,change_pct
Riqueza Vocabular (TTR),lispector,0.5124086747897993,0.30841494650546153,-39.810748396876825
Riqueza Vocabular (TTR),wikipedia_eng,0.4860706362851854,0.3223599138646309,-33.68043864400457
Riqueza Vocabular (TTR),wikipedia_pt,0.5146666666666667,0.4251899471218018,-17.385372968561832
Riqueza Vocabular (TTR),woolf,0.46075884477839774,0.3176230042527652,-31.065239907542917
Tamanho de Frases,lispector,11.143145208401718,6.650770216084681,-40.315143599940455
Tamanho de Frases,wikipedia_eng,29.63254787295035,82.3054178316632,177.7534290488552
Tamanho de Frases,wikipedia_pt,34.38759425988528,8.052639780432633,-76.58271840834642
Tamanho de Frases,woolf,23.13112718311328,58.02814802481469,150.8660627104145
Densidade de Pronomes,lispector,0.06695734243974093,0.159586576621255,138.34066706706122
Densidade de Pronomes,wikipedia_eng,0.03417049064334727,0.12916633139665354,278.0054923554375
Densidade de Pronomes,wikipedia_pt,0.019455101870529214,0.08383563534430379,330.9185112584728
Densidade de Pronomes,woolf,0.12105412004502072,0.13719525110853834,13.333813882183135
