metric,author,original,activation_steering,change_pct
Riqueza Vocabular (TTR),lispector,0.5124086747897993,0.45841703524290195,-10.536831674258028
Riqueza Vocabular (TTR),wikipedia_eng,0.4860706362851854,0.5417173109081765,11.448269133941755
Riqueza Vocabular (TTR),wikipedia_pt,0.5146666666666667,0.5182423506758171,0.6947572556639428
Riqueza Vocabular (TTR),woolf,0.46075884477839774,0.47464972545081785,3.0147832927875626
Tamanho de Frases,lispector,11.143145208401718,25.73107913724784,130.9139713789882
Tamanho de Frases,wikipedia_eng,29.63254787295035,28.616342658984554,-3.4293548375346616
Tamanho de Frases,wikipedia_pt,34.38759425988528,32.42519795382541,-5.706698442551704
Tamanho de Frases,woolf,23.13112718311328,26.178509273690366,13.174377826264378
Densidade de Pronomes,lispector,0.06695734243974093,0.10594274120388061,58.224232539135
Densidade de Pronomes,wikipedia_eng,0.03417049064334727,0.02174879347228438,-36.352118266938895
Densidade de Pronomes,wikipedia_pt,0.019455101870529214,0.022094877855114325,13.568553905049818
Densidade de Pronomes,woolf,0.12105412004502072,0.09304579155404592,-23.137030346888103
